NumberofFloors,NumberofBuildings,BuildingAge,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,renamed_PropertyType,Electricity_ratio,NaturalGas,SteamUse,SiteEnergyUse(kBtu),TotalGHGEmissions,ENERGYSTARScore
3.0,1.0,93.0,20571.0,Small,NORTHEAST,Hotel,99.9999,False,False,716279.6875,4.99,72.0
9.0,1.0,98.0,104000.0,Medium,DOWNTOWN,Hotel,47.8655,True,True,8690648.0,355.8,8.0
11.0,1.0,97.0,36240.0,Small,DOWNTOWN,Hotel,21.24566,True,True,2147968.25,120.91,98.0
6.0,1.0,114.0,35820.0,Small,DOWNTOWN,Hotel,29.90571,True,False,3321603.0,130.58,94.0
8.0,1.0,113.0,61721.0,Medium,DOWNTOWN,Hotel,87.48782,True,False,2897079.75,36.92,93.0
4.0,1.0,64.0,38520.0,Small,LAKE UNION,Hotel,56.95345,True,False,2804534.0,75.25,37.0
3.0,1.0,62.0,29186.0,Small,LAKE UNION,Hotel,39.58028,True,False,867184.375,30.22,95.0
6.0,1.0,95.0,35770.0,Small,EAST,Hotel,22.91373,True,False,2640980.25,112.34,56.0
9.0,1.0,95.0,48006.0,Medium,EAST,Hotel,47.33193,True,False,3239754.0,101.31,85.0
4.0,1.0,109.0,45500.0,Small,DOWNTOWN,Hotel,38.20385,True,True,2799595.0,122.0,77.0
3.0,1.0,123.0,25450.0,Small,DOWNTOWN,Hotel,100.00006,False,False,503744.6875,3.51,99.0
3.0,1.0,115.0,28800.0,Small,DOWNTOWN,Hotel,26.23177,True,False,4644346.0,190.45,
4.0,1.0,33.0,41704.0,Small,NORTHWEST,Hotel,49.85814,True,False,1943899.25,58.52,73.0
3.0,1.0,31.0,22452.0,Small,GREATER DUWAMISH,Hotel,42.14805,True,False,1244150.0,41.88,85.0
4.0,1.0,98.0,33018.0,Small,DOWNTOWN,Hotel,37.62257,True,False,4857581.5,173.67,49.0
5.0,1.0,113.0,40552.0,Small,DOWNTOWN,Hotel,18.95006,True,False,1200180.875,53.25,99.0
10.0,,17.0,392552.0,Large,DOWNTOWN,Hotel,62.52255,True,False,17457560.0,423.57,23.0
4.0,1.0,10.0,62381.0,Medium,BALLARD,Hotel,99.99999,False,False,3497215.5,24.38,62.0
14.0,1.0,8.0,144614.0,Medium,DOWNTOWN,Hotel,95.36903,True,False,5525072.5,50.32,89.0
4.0,1.0,9.0,126823.0,Medium,LAKE UNION,Hotel,68.11235,True,False,6042399.5,131.02,72.0
2.0,1.0,24.0,97288.0,Medium,DOWNTOWN,Other,60.9884,True,False,12086616.0,301.81,
8.0,1.0,97.0,102761.0,Medium,DOWNTOWN,Other,57.74181,True,True,6298131.5,221.51,
11.0,1.0,19.0,412000.0,Large,DOWNTOWN,Other,96.03223,False,True,18588860.0,181.38,
6.0,1.0,93.0,103911.0,Medium,DOWNTOWN,Other,44.73374,True,True,9956396.0,433.86,
10.0,1.0,107.0,,Medium,DOWNTOWN,Other,54.14721,True,False,44984468.0,1265.29,76.0
2.0,1.0,93.0,67224.0,Medium,DOWNTOWN,Other,99.99995,False,False,1310236.625,9.13,
2.0,1.0,103.0,57428.0,Medium,DOWNTOWN,Other,57.31608,True,False,1247362.0,33.26,
1.0,1.0,61.0,389000.0,Large,MAGNOLIA / QUEEN ANNE,Other,60.94577,True,True,23658978.0,607.41,
1.0,1.0,61.0,91213.0,Medium,MAGNOLIA / QUEEN ANNE,Other,46.1128,False,True,8141155.5,344.2,
